timestamp,e2_node_id,ue_id,min_prb_ratio,max_prb_ratio
2025-04-09 16:36:26,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:36:31,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:36:36,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:36:41,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:36:46,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:36:51,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:36:56,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:01,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:06,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:11,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:16,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:21,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:26,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:31,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:36,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:41,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:46,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:51,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:37:56,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:01,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:06,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:11,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:16,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:21,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:26,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:31,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:36,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:41,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:46,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:51,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:38:56,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:01,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:06,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:11,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:17,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:22,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:27,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:32,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:37,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:42,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:47,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:52,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:39:57,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:02,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:07,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:12,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:17,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:22,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:27,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:32,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:37,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:42,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:47,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:52,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:40:57,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:41:02,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:41:07,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:41:12,gnbd_001_001_00019b_0,0,12,24
2025-04-09 16:41:17,gnbd_001_001_00019b_0,0,12,24
